연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2008,강원도,정선군,663,1495935,23,111908,224,1338808,0,0
2008,강원도,철원군,2145,4982190,15,187001,1573,9684630,2,36000
2008,강원도,춘천시,7762,14692698,176,1333256,5447,18951278,1,7200
2008,강원도,태백시,147,476621,15,46469,48,123247,0,0
2008,강원도,평창군,2879,775576,38,3265,342,146736,0,0
2008,강원도,홍천군,8352,5514067,30,272965,1385,3747860,24,619250
2008,강원도,화천군,2627,3559487,6,173825,737,3215195,15,67092
2008,강원도,횡성군,6026,8126425,51,729851,2632,7243166,7,1727
2008,경기도,가평군,6238,10030585,15,161181,970,1364106,210,472197
2008,경기도,고양시,5487,18158615,36,340526,2483,6556023,7,18250
2008,경기도,과천시,221,862123,1,1536,954,922045,6,525
2008,경기도,광명시,1266,1645812,30,780880,251,224665,0,0
2008,경기도,광주시,8291,21645668,45,207727,409,985855,329,3600413
2008,경기도,구리시,481,423338,12,13108,424,1916905,0,0
2008,경기도,군포시,499,1594753,6,12600,232,222948,0,0
2008,경기도,김포시,7948,25316503,136,543875,2058,4060338,11,241950
2008,경기도,남양주시,3487,7944114,104,1097886,765,1470711,69,140256
2008,경기도,동두천시,2050,3905072,116,1411110,269,417120,12,97494
2008,경기도,부천시,927,3317957,69,441457,132,399462,0,0
2008,경기도,성남시,601,5262428,5,33940,431,1298672,5,57400
2008,경기도,수원시,3659,3768477,104,1527693,755,1435624,31,13747
2008,경기도,시흥시,1161,3089063,129,932181,1952,4670516,16,3520
2008,경기도,안산시,1195,1302831,38,132228,2368,5368357,1,360
2008,경기도,안성시,13989,20863089,117,1524715,11444,52222887,0,0
2008,경기도,안양시,564,1461061,44,1491009,50,67853,1,22100
2008,경기도,양주시,5386,8992698,642,3616244,3979,8511269,6,18300
2008,경기도,양평군,14612,15019056,21,237600,8684,22527940,6,43615
2008,경기도,여주시,9223,22897955,163,1792332,4625,8973902,369,238863
2008,경기도,연천군,1194,919951,62,531700,1843,2576102,1,5000
2008,경기도,오산시,557,951995,24,839680,190,663379,0,0
2008,경기도,용인시,4668,28483569,50,1614426,579,4778290,7,50010
2008,경기도,의왕시,1524,1659326,96,224715,388,300248,25,33531
2008,경기도,의정부시,1261,3038342,7,36788,353,594781,0,0
2008,경기도,이천시,8413,37958396,153,1831985,5493,16747612,23,420454
2008,경기도,파주시,11736,30130314,189,2145560,1902,5572619,104,743710
2008,경기도,평택시,7747,25218864,275,5798443,2504,13245204,11,11930
2008,경기도,포천시,3237,19440256,102,1202500,1019,5677355,4,137000
2008,경기도,하남시,3385,12119381,43,536157,1020,2159023,2,10800
2008,경기도,화성시,6629,9687700,214,3749617,2411,2900773,110,94202
2008,경상남도,거제시,3164,7632015,66,506974,2589,2230531,11,9349
2008,경상남도,거창군,1350,2675409,54,1423075,2315,10982449,4,73256
2008,경상남도,고성군,1104,1493227,45,323388,880,4923877,0,0
2008,경상남도,김해시,5588,21775294,292,2531505,1167,6694581,8,34022
2008,경상남도,남해군,3456,3918855,0,0,2720,3579138,8,45910
2008,경상남도,밀양시,1268,1537251,51,96550,1004,799058,3,270
2008,경상남도,사천시,1088,9099688,108,1479566,1322,11928057,2,1660
2008,경상남도,산청군,1116,4935716,38,354220,3948,37124794,2,18500
2008,경상남도,양산시,2278,5894766,281,1959815,320,1613739,0,0
2008,경상남도,의령군,1309,7089938,42,864277,1825,16709029,3,44100
2008,경상남도,진주시,2051,15963608,194,1569945,6162,19766456,0,0
2008,경상남도,창녕군,1204,12427465,44,561825,1273,12605082,5,580
2008,경상남도,창원시,4500,19976737,70,1936848,689,5489696,18,17971
2008,경상남도,통영시,1898,3512637,32,164060,1226,5126903,4,7470
2008,경상남도,하동군,1121,5363812,19,161273,3402,4898453,2,32401
2008,경상남도,함안군,1631,10638632,166,2885127,776,12958009,4,113210
2008,경상남도,함양군,3474,3935417,37,346775,3345,11087657,5,13045
2008,경상남도,합천군,893,2539837,25,652852,1527,13966712,6,29689
2008,경상북도,경산시,1589,13894829,221,8829902,654,9087099,1,36500
2008,경상북도,경주시,1391,22851366,75,1689630,469,13185263,2,13000
2008,경상북도,고령군,1059,9599911,103,2439610,1416,15326498,0,0
2008,경상북도,구미시,1872,7360574,166,3346668,295,2353566,7,57932
2008,경상북도,군위군,1427,16623254,28,1670573,899,12978388,10,435550
2008,경상북도,김천시,6901,4862298,99,791180,9246,7892277,84,294980
2008,경상북도,문경시,2965,9017681,23,285540,2768,3790345,0,0
2008,경상북도,봉화군,1150,3250346,15,318512,3065,6563856,1,2446
2008,경상북도,상주시,5431,8384296,26,193540,10849,40099775,2,800
2008,경상북도,성주군,2296,7136168,103,537278,2952,6471220,21,471850
2008,경상북도,안동시,4372,7640281,41,349525,6198,22714129,0,0
2008,경상북도,영덕군,230,4339422,20,411884,384,2693110,10,543982
2008,경상북도,영양군,230,2600498,16,284965,379,3507028,5,63063
2008,경상북도,영주시,1823,2991058,62,333289,2400,4652426,2,611
2008,경상북도,영천시,1632,15873483,182,3088120,472,11071002,11,164850
2008,경상북도,예천군,5863,11057439,20,147121,2703,7008121,4,16160
2008,경상북도,울릉군,9,9300,1,0,1,500,0,0
2008,경상북도,울진군,141,739965,18,80865,1485,3833188,45,2472021
2008,경상북도,의성군,2037,11064412,46,1143800,653,15079065,0,0
2008,경상북도,청도군,659,9236727,26,799310,1264,13660728,19,508596
2008,경상북도,청송군,764,2031429,5,80720,293,1013821,22,35270
2008,경상북도,칠곡군,3384,4386080,149,2198908,1039,1016565,0,0
2008,경상북도,포항시,752,3941032,52,2271129,423,1950578,15,290060
2008,광주광역시,광산구,1180,1991555,59,653217,1110,730330,1,621
2008,광주광역시,남구,613,2052290,4,4185,154,1794822,1,1892
2008,광주광역시,동구,1317,2354381,0,0,36,216675,0,0
2008,광주광역시,북구,3050,4788178,96,199114,407,935579,0,0
2008,광주광역시,서구,932,4703414,22,907916,482,3749097,0,0
2008,대구광역시,남구,176,1195922,0,0,5,20421,0,0
2008,대구광역시,달서구,340,1687063,60,107423,15,60239,1,1145
2008,대구광역시,달성군,904,2826267,74,860968,468,2340112,0,0
2008,대구광역시,동구,641,2244978,52,106401,165,359278,9,3895
2008,대구광역시,북구,679,4476773,63,1467625,93,645305,1,36000
2008,대구광역시,서구,144,1114740,29,185039,7,6405,2,18460
2008,대구광역시,수성구,292,3216890,9,19830,50,161702,0,0
2008,대구광역시,중구,221,886120,2,52200,0,0,0,0
2008,대전광역시,대덕구,2548,1370262,87,336348,372,99242,0,0
2008,대전광역시,동구,4495,7322030,37,136494,922,4948319,1,30000
2008,대전광역시,서구,3239,9132982,1,5781,523,1322009,2,1095
2008,대전광역시,유성구,3928,4214525,36,132550,1419,2559693,15,92980
2008,대전광역시,중구,3267,6909241,115,339630,238,607423,0,0
